語詞,解釋
精益求精,不斷努力求進步。[例]我們做事應秉持精益求精的態度，如此才能更臻完美。
樣貌,形狀、外貌。[例]在不知對方樣貌如何就要我去相親，實在很不妥。
感官,動物接收外界種種刺激的器官。如耳、目、鼻、舌、皮膚等。[例]大都會五光十色的生活，容易使人的感官迷失。　△感覺器
增加,增添、加多。[例]神話故事雖然不一定可信，卻為我們的生活增加了許多趣味。
逆風,迎面對著風。[例]逆風前進
可憐,令人憐憫、同情。[例]他在這次車禍中身受重傷，又失去了雙親，真是可憐。
物競天擇,物種互相競爭，適應自然者生存，不適應者即遭淘汰。為達爾文《演化論》所提出的主要觀念。
好逸惡勞,貪圖安逸，憎惡勞動。[例]茶來伸手，飯來張口的日子，養成他好逸惡勞的個性。
鄰居,住處相近的人家。[例]隔壁林家是我們相處多年的好鄰居。
脈絡,1.血管的統稱。[例]筋骨脈絡遍布全身。
精緻,精巧細緻。[例]桌上那些精緻的小點心是誰做的呢？
脆弱,1.不堅固的。[例]屋內梁木年久失修相當脆弱，地震時務必加倍小心。
噴嚏,鼻黏膜受了刺激，引起鼻孔急遽噴氣出聲的動作。[例]他剛才淋了雨，現在直打噴嚏，可能感冒了。
忙碌,事情太多，不得休息。[例]他的工作相當忙碌，經常從早忙到晚。
興味盎然,興趣很高昂的樣子。[例]他興味盎然的看著地上的螞蟻，把自己想像成其中的一員。
精疲力盡,精神疲累，力氣耗盡。形容非常的疲憊。如：「忙碌了一整天後，他顯得精疲力盡。」也作「筋疲力盡」。
巴基斯坦,國名。位於亞洲南部。參見「巴基斯坦伊斯蘭共和國」條。
女性,兩性之一，具雌性特徵者。與「男性」相對。
恐怖,可怕、害怕。[例]深夜暗巷獨行，使得膽小的她倍覺恐怖。
組織,1.構成。[例]他們決定組織一個文藝社團。
霸占,強力占有。[例]許多商家霸占騎樓，造成行人諸多不便。
廣播,1.廣泛傳播。[例]這種小事，他也到處去廣播，真無聊！
控制,操縱、節制。[例]他已超過標準體重了，醫生建議他除了運動外，還得控制飲食。
受傷,受到傷害。[例]她上體育課時，不小心跌倒受傷了。
攻擊,以武力、語言、文字等各種方式進攻或傷害別人。[例]那架飛機在回程中受到不明物體攻擊，只好緊急降落。
威脅,以權勢威力脅迫。[例]他無視於威脅利誘，始終堅持自己的原則。
康復,病癒，恢復健康。[例]他的病經過醫生的細心診療已經完全康復了。
武器,具有攻擊能力的設備或器械。多作為軍事用途。[例]現代的武器多具有強大的殺傷力。
震撼,震動搖撼。[例]這項技術上的重大突破，對於業界造成了很大的震撼。
恐懼,惶恐、害怕。[例]小妹自從發生過車禍後，從此心懷恐懼，再也不肯騎車上學了。
維持,維護保持。[例]為了維持身體健康，他每天都去晨泳。
奮戰,奮勇戰鬥。[例]為了家人，他決定與病魔奮戰到底。
崎嶇,1.地勢或道路高低不平。[例]這條路崎嶇難行，經過的人莫不叫苦連天。
拳擊,一種西洋拳術運動。是一種兩人用拳頭互相對打的活動。比賽分為職業賽和業餘賽兩種。並按體重由輕到重依次分為微量級、中量級和重量級。各級再分為甲、乙、丙、丁四等。競賽規則為：一、拳擊手必須戴手套。二、每回合三分鐘，回合間休息一分鐘。三、若一方被擊倒在地，而無法於十秒鐘內站起，裁判可宣布另一方獲勝。四、不可蓄意毆打對手。[例]拳擊選手都受過嚴格的訓練，個個體格壯碩，孔武有力。　◎
癌症,→癌
銅牌,1.銅質的牌子。經常用來製成各種形狀的獎牌，上面刻字，可作獎品或紀念品，便於保存陳列。[例]櫃上放置的銅牌，正代表他過去的光榮事蹟。
屢屢,常常。[例]他的作品多以家國情懷為主題，屢屢勾起遊子的鄉愁，引發共鳴。
減少,縮減降低、少於原來的數量。[例]報導指出，多運動可減少心血管疾病的發生。
給予,交付、提供。[例]他因為受傷無法承擔家計的事件一經報導，社會各界紛紛給予援助。
幼芽,種子發芽時，胚芽上端向上生長的幼小植物體。
椰子,植物名。棕櫚科可可椰子屬，常綠喬木。樹幹直立，不分枝，頂端叢生羽狀複葉。果實亦稱為「椰子」，橢圓形，核果，外果皮為青綠色，中果皮為厚纖維層，內果皮為角質硬殼。果核外層為白色椰肉，可生食或製成椰子油或椰子粉；中心空腔內充滿椰子汁，為天然的清涼飲料。[例]南臺灣天氣炎熱，適合種植椰子。　◎
即使,縱使、就算是。[例]如果不能活用，即使學得再多又有什麼用呢？
腐爛,腐壞潰爛。[例]這些水果一直壓在箱底，早就腐爛發霉了。
衝擊,1.衝撞碰擊。[例]颱風過境時，浪濤強勁的衝擊著沿岸，景象極為驚險。
鍛造,將高溫或常溫的金屬，用錘擊或壓床加壓的方式，使金屬物件具有一定的形狀和尺寸，並改變它的物理性質的加工法。[例]這塊鋼鐵經過鍛造後，變成了一把鋒利的菜刀。
鍛鍊,1.冶煉金屬使其更加精純。[例]金屬經過冶燒鍛鍊後會更加精純。
唐朝,朝代名。（西元618～906）李淵代隋，國號唐，二十帝，二百八十九年。唐朝建都長安，與漢朝並稱為中國歷史上最富強的盛世。當時文化優越，版圖遼闊，聲威遠播，對鄰近諸國，有深遠的影響。
恬淡,清靜淡泊，不求名利。[例]她一向喜愛過著恬淡的生活。
日暮,傍晚。《文選．王粲．從軍詩五首之一》：「盡日處大朝，日暮薄言歸。」《儒林外史》第一回：「吳王歎息，點頭稱善。兩人促膝談到日暮。」
柴扉,以樹枝木幹做成的門。借指簡陋的居所。[例]柴扉虛掩
完畢,結束。[例]父親在電話裡說事情一處理完畢，就馬上回家。
簡陋,簡單粗陋。[例]工程期間，他們搭建簡陋的工寮暫作棲身之所。
傍晚,黃昏時分。[例]每天傍晚，爺爺都會到公園散步。
確定,明確而肯定。[例]等出發時間確定後再通知他們比較恰當。
閒適,悠閒安適。[例]他退休之後就隱居鄉下，過著閒適的生活。
幽人,幽隱山林的人。《文選．班固．幽通賦》：「夢登山而迥眺兮，覿幽人之髣髴。」唐．韋應物〈秋夜寄丘二十二員外〉詩：「空山松子落，幽人應未眠。」
官職,泛稱官位。[例]古代士人常經由科舉考試謀得官職。
吟唱,吟詠歌唱。[例]她藉由吟唱詩詞，更深刻體會到作品的韻律和美感。
空曠,開闊、寬廣。[例]這一大片空曠的草原，真讓人有呼嘯狂奔的衝動。
疤痕,傷口癒合後的痕跡。[例]上次的刀傷，使他手上留下了一道疤痕。
鐵罐,鐵製的罐子。[例]小朋友們經常將空的鐵罐當成足球般，踢來踢去。
咚咚,狀聲詞。摹擬碰撞或擊鼓的聲音。[例]廟會慶典時，舞獅跳躍翻滾，鑼鼓聲咚咚作響，非常熱鬧。
碰運氣,對所做的事情沒有把握，只是存著僥倖心理。[例]由於沒有經驗，這些樹苗是否能種得活，只有碰運氣了。
傾盆,形容雨勢大且急。[例]大雨突然傾盆而下，路上的行人走避不及，都成了落湯雞。
營火,夜間露營時，在營帳外堆木燃燒的火。[例]營火晚會
崇拜,尊敬佩服。[例]他從小就非常崇拜父親，一心把父親當作學習的榜樣。
棄置,廢棄不用，扔在一旁。[例]這部腳踏車棄置多年，都生鏽了。
奄奄一息,僅存微弱的一口氣。形容生命垂危。[例]車禍傷患被送到醫院時已奄奄一息，最後終告不治。
小心翼翼,形容非常小心謹慎，不敢疏忽。[例]我小心翼翼地將熱湯端上桌，深怕湯汁溢出燙傷手。
祈禱,1.禱告求福。[例]每次出海，他的妻子總是默默祈禱他能平安歸來。
吼聲,憤怒或情緒激動時的喊叫聲。[例]深山裡，不時傳來一陣陣老虎的吼聲。
喉嚨,→咽喉
劇烈,猛烈、強烈。[例]飯後應稍事休息，避免劇烈運動。
暈船,乘船時因過度搖晃而產生頭暈，甚至嘔吐的現象。[例]海面風浪太大，所有的乘客都暈船了。
黃昏,太陽將落，天快黑的時候。[例]夏天黃昏時，爸爸喜歡在榕樹下乘涼。
船艙,船內部可容納人員或貨物的地方。[例]甲板上風大，許多乘客都改到船艙中休息閒談。
途中,路上，路途之間。[例]妹妹在回家途中遺失了鑰匙和錢包。
野獸,生長在山野間，沒有經過人工飼養、繁殖的獸類。[例]由於人類的大肆獵捕，許多野獸已瀕臨絕種。
渾身,全身。[例]他感冒了，早上起來覺得渾身無力。
擱淺,1.船隻因水位太低，未能提供所需的浮力而無法行進。[例]這艘船受到強烈颱風的吹襲而擱淺在暗礁上。
礁岩,暗藏或突出水面的岩石。[例]退潮時，海岸邊露出許多礁岩。
木筏,以木材平紮成的船板形水上交通工具，飄浮水面，可用來載人運物，多用於水道淺的河川。[例]乘著木筏順流而下，就可以到外婆家了。
倒塌,傾倒、塌下來。[例]大地震後，災區到處可見倒塌房屋的慘狀。
烤爐,用來烘烤食物的爐子。[例]這隻剛從烤爐端出來的火雞，香氣四溢，令人垂涎三尺。
躍躍欲試,心動技癢，急切的想嘗試一下。[例]比賽尚未鳴槍開始，選手們個個躍躍欲試，準備一決高下。
簽名,簽署名字。[例]這份合約需要本人親筆簽名才能生效。
傻瓜,指愚笨的人。多用來罵人或開玩笑。有時帶有憐惜的意味。[例]別老罵他傻瓜，他其實並不傻。
神態自若,神情態度從容不迫，一如平常的樣子。如：「看他一副神態自若的樣子，真叫人又羨慕又嫉妒。」也作「神態自如」。
繼續,連續而不間斷。[例]暫時領先而能繼續努力的人，才是最後的勝利者。
腦性麻痺,病名。由於分娩時頭部的損傷、出血、血栓、續發性腦炎，導致引起患兒異常運動、智障等症狀的疾病。
患者,病人。[例]最近流行感冒，前往醫院求診的患者很多。
艱辛,困難辛苦。[例]備嚐各種艱辛，她終於獨力把孩子撫養長大。
博士,1.在大學或獨立學院研究所研讀的博士候選人，通過該校（院）學位考試，經教育部覆核無異後，所獲頒的學位，為現今最高的學位。獲得此學位的人也稱博士。[例]法學博 士、文學博士
聆聽,注意聽。[例]她那優美的歌聲吸引了不少人前往聆聽。
埋怨,抱怨、責怪。[例]面對困境，與其百般埋怨，不如設法克服。
寫稿,寫作文章。[例]他以替專欄寫稿為業。
如雷,比喻聲音很大。《紅樓夢》第五回：「話猶未了，只聽迷津內水響如雷，竟有許多夜叉海鬼將寶玉拖將下去。」
擔任,擔負某種職務及責任。[例]他在擔任總經理職務期間，將公司整治得有條不紊，業績從此蒸蒸日上。
高談闊論,1.言談見解高妙，內容廣博。[例]春秋時代，孟子高談闊論，主張人性本善。
口若懸河,比喻能言善道，說話時有如流水傾瀉一般，滔滔不絕。[例]他很健談，發表高論時口若懸河，滔滔不絕。
標點符號,在文句中，用來分別句讀（ㄉㄡˋ）和標明詞句性質、種類的符號。[例]老師說不要小看標點符號，標錯了，語意就不同了。
怒氣,憤怒的情緒。[例]他今天不知吃了什麼炸藥，一臉怒氣，動不動就發脾氣。
朝廷,1.君主辦事聽政的地方。[例]皇帝在朝廷接見各國前來進貢的使者。
不妥,不恰當、不宜。[例]當初雙方雖是口頭約定，但中途毀約恐怕不妥。
進諫,以直言規勸。多用於下對上。[例]冒死進諫
緊閉,緊密的閉合。[例]緊閉門窗、緊閉眼睛
面面相覷,互相對視不知所措，形容驚懼或詫異的樣子。[例]聽到這個不幸的消息，大家都面面相覷，悄然無語。
仁政,仁德的政治。[例]執政者唯有施以仁政，才能真正使國家太平、人民安樂。
喝斥,大聲責罵。[例]小孩子做錯事時要善加調教，而不要只是一味的喝斥。
蒙羞,遭受羞辱。[例]為人子女者要堂堂正正做人，千萬不可作奸犯科，使父母蒙羞。
不懂,不明白、不了解。[例]你若有不懂的地方，可以向其他人請教。
